Sl.No ,Code, Name of the College ,Location,Course 
1 ,APLO, Apollo Institute of Medical Sciences & Research , Hyderabad ,MBBS 
2 ,KMHD, Kamineni Academy of Medical Sciences & Research Center, LB Nagar:Hyderabad ,MBBS 
3 ,MAMS, Mamata Academy of Medical Sciences, Bachupally ,MBBS 
4 ,MMTA, Mamata Medical College, Khammam - 507 002. ,MBBS 
5 ,CARK, Chalmeda Ananda Rao Inst of Medical Sciences, Karimnagar. ,MBBS 
6 ,PRTM, Prathima Institute of Medical Sciences, Narketpally Karimnagar ,MBBS 
7 ,SVSM, S.V.S. Medical College, Yenugonda:Mahaboobnagar-509 002. ,MBBS 
8 ,MAHE, Maheshwara Medical College, Patancheru ,MBBS 
9 ,MNRS, MNR Medical College, Fasalwadi Sangareddy Medak District ,MBBS 
10 ,RVMC, RVM Medical College, Mulugu Siddipet. ,MBBS 
11 ,SURB, Surabhi Institute of Medical Sciences, Siddipet ,MBBS 
12 ,TRRM, TRR Medical College, Patancheru ,MBBS 
13 ,KMNI, Kamineni Institute of Medical Sciences, Narketpally Nalgonda ,MBBS 
14 ,BASK, Bhaskar Medical College, Moina Bad (M)  R.R. Dist. ,MBBS 
15 ,DPMR, Dr. Patnam Mahender Reddy Institute of Medical Sciences, Chevella Rangareddy ,MBBS 
16 ,MHVR, Mahavir Institute of Medical Sciences, Vikarabad Telengana ,MBBS 
17 ,MLRD, Malla Reddy Institute of Medical Sciences, Hyderabad ,MBBS 
18 ,MRWN, Mallareddy Medical College for Womens, Hyderabad ,MBBS 
19 ,MEDI, MediCity Institute of Medical sciences, Ghanpur RR District. ,MBBS
20 ,DCMS ,Deccan College of Medical Sciences, Kanchanbagh Hyderabad ,MBBS 
21 ,SHDN ,Shadan Institute of Medical Sciences, Himayath Sagar Road Hyderabad ,MBBS 
22 ,AYAN ,Aayaan Institute of Medical Sciences, Kankamamidi Village R.R.District. ,MBBS 
23 ,VRKW ,Dr. V.R.K. Women's Medical College, Aziz Nagar Moinabad Hyderabad ,MBBS